,岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
0,仓库管理员,拼多多,"[5.0, 7.0, 6.0]",哈尔滨-平房区,民营公司,500-1000人,['计算机软件'],"['上市公司', '发展空间大', '缴纳五险', '包吃', '包住宿']","""1年经验""",5.0,7.0,6.0
1,英语教研员,哈尔滨市爱尔英语培训学校,"[5.0, 7.0, 6.0]",哈尔滨-香坊区,民营公司,50-150人,"['教育', '培训', '院校']","['员工旅游', '餐饮补贴', '绩效奖金', '带薪休假', '满勤奖']","""本科""",5.0,7.0,6.0
2,一手房销售-LSY,哈尔滨贝壳房地产经纪有限公司,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,10000人以上,['房地产'],[''],"""本科""",7.0,10.0,8.5
3,销售,哈尔滨市阳光惠远知识产权代理有限公司,"[4.0, 6.0, 5.0]",哈尔滨,民营公司,少于50人,['检测，认证'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '弹性工作', '专业培训']","""大专""",4.0,6.0,5.0
4,销售工程师,北京同心行科贸有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,少于50人,"['医疗设备', '器械']","['交通补贴', '年终奖金', '绩效奖金', '专业培训', '餐饮补贴', '通讯补贴']","""大专""",5.0,7.0,6.0
5,新房渠道销售,哈尔滨松玉房地产开发有限公司,"[4.0, 5.0, 4.5]",哈尔滨-香坊区,民营公司,50-150人,['房地产'],"['周末双休', '带薪年假', '五险一金', '节日福利', '餐饮补贴', '通讯补贴', '免费班车']","""大专""",4.0,5.0,4.5
6,五百强企业诚聘业务主管,中意人寿保险有限公司黑龙江省分公司哈尔滨中心支公司,"[12.0, 12.0, 12.0]",哈尔滨-香坊区,合资,10000人以上,['保险'],[''],"""高中""",12.0,12.0,12.0
7,房产经纪人,黑龙江省骄阳房地产经纪有限公司第十三分部,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,1000-5000人,['房地产'],"['员工旅游', '专业培训', '绩效奖金']","""无需经验""",7.0,10.0,8.5
8,财务主管,哈尔滨上洋包装制品有限公司,"[6.0, 10.0, 8.0]",哈尔滨-南岗区,民营公司,150-500人,"['印刷', '包装', '造纸']","['免费班车', '绩效奖金', '意外险', '免费午餐', '免费寝室']","""大专""",6.0,10.0,8.0
9,幼儿培训老师（美术）,武汉亿童文教股份有限公司,"[7.0, 10.0, 8.5]",哈尔滨,上市公司,1000-5000人,"['教育', '培训', '院校']","['带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '定期体检', '员工旅游', '餐饮补贴', '年终奖金']","""本科""",7.0,10.0,8.5
10,初中英语教师,哈尔滨市道外区优得文化艺术学校,"[4.0, 5.0, 4.5]",哈尔滨-道外区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""本科""",4.0,5.0,4.5
