Site Accounting Support,法雷奥压缩机（长春）有限公司,5-7,长春,外资（欧美）,150-500人,汽车,"['五险一金', '补充医疗保险', '免费班车', '定期体检', '年终奖金', '专业培训', '周末双休', '节日福利']","""本科"""
高薪游戏运营,朝阳区泽宇信息技术咨询工作室,7-10,长春-朝阳区,合资,,计算机软件,[''],"""无需经验"""
亚马逊网店运营,长春吉米吉智能科技有限公司,4-5,长春-汽车产业开发区,民营公司,150-500人,贸易\进出口,"['做五休二', '五险一金', '绩效奖金', '弹性工作', '全勤奖', '专业培训', '节日福利', '带薪年假', '加班补贴']","""中专"""
销售工程师,北京同心行科贸有限公司,6-8,长春,民营公司,少于50人,医疗设备\器械,"['交通补贴', '年终奖金', '绩效奖金', '专业培训', '餐饮补贴', '通讯补贴']","""大专"""
大客户经理,吉林省信安网络技术有限公司,4-10,长春-南关区,民营公司,50-150人,计算机服务(系统、数据服务、维修),"['五险一金', '绩效奖金', '年终奖金', '通讯补贴', '专业培训']","""大专"""
德邦快递管理培训生——海豚计划,德邦快递,7-12,长春-宽城区,民营公司,,交通\运输\物流,"['弹性工作', '绩效奖金', '全勤奖', '餐饮补贴', '住房补贴', '五险一金', '高温补贴']","""本科"""
A人事文员五险,吉林省尼西人力资源服务有限公司,4-5,长春-南关区,民营公司,少于50人,中介服务,[''],"""无需经验"""
电台主播\电台主持人\不露脸,湖北凌音文化传媒有限公司,11-12,异地招聘,民营公司,500-1000人,互联网\电子商务,[''],"""无需经验"""
华为数通产品售前工程师,联强国际,5-7,长春-朝阳区,外资（非欧美）,1000-5000人,计算机硬件,"['五险一金', '定期体检', '专业培训', '团建福利', '优秀员工', '长期服务奖', '周末双休', '绩效奖金', '带薪年假']","""大专"""
电话销售（无责底薪2500+双休）,辽宁卓信投资管理有限公司长春分公司,4-10,长春-朝阳区,民营公司,150-500人,金融\投资\证券,"['五险一金', '节日福利', '专业培训', '做五休二', '周末双休', '弹性工作', '绩效奖金', '加班补贴']","""大专"""
工业会计,吉林省凯禹电化学储能技术发展有限公司,4-5,长春,民营公司,少于50人,新能源,[''],"""大专"""
大客户经理,欧菲斯办公伙伴长春有限公司,5-7,长春-二道区,民营公司,150-500人,办公用品及设备,[''],"""本科"""
医疗器械销售,长春市媛君经贸有限公司,7-10,长春,民营公司,少于50人,医疗设备\器械,"['五险一金', '交通补贴', '绩效奖金', '年终奖金', '弹性工作', '专业培训', '通讯补贴']","""大专"""
电气设计工程师,长春凯希环保有限责任公司,4-7,长春-经济技术开发区,外资（非欧美）,50-150人,环保,"['五险一金', '周末双休', '交通补贴', '餐饮补贴', '通讯补贴', '定期体检', '13薪', '采暖补助']","""本科"""
新媒体运营策划专员,吉林省佳鸿机械设备制造有限公司,5-12,长春,民营公司,50-150人,机械\设备\重工,"['包吃', '包住宿', '免费班车', '全勤奖']","""大专"""
骑手,长春市奔跑兔商贸有限公司,10-12,长春-高新技术产业开发区,民营公司,50-150人,餐饮业,[''],"""初中及以下"""
科研院长（长春）,启迪（柳州）数字教育有限公司,30-36,长春,民营公司,,教育\培训\院校,[''],"""博士"""
大客户营销工程师（长春）,上能电气股份有限公司,10-12,长春,民营公司,,电气\电力\水利,[''],"""本科"""
营销管培生（吉林）,杭州远大生物制药有限公司,7-10,长春,民营公司,,制药\生物工程,[''],"""本科"""
QA（长春）,安徽誉隆亚东药业有限公司,4-5,长春,民营公司,,制药\生物工程,[''],"""本科"""
预算员（长春）,北京城建亚泰建设集团有限公司,7-10,长春,民营公司,,多元化业务集团公司,[''],"""本科"""
销售顾问（长春）,北京云杉世界信息技术有限公司,5-7,长春,民营公司,,多元化业务集团公司,[''],"""大专"""
销售工程师（长春）,北京北元电器有限公司,5-7,长春,民营公司,,多元化业务集团公司,[''],"""本科"""
信息化专员（长春）,北京护航科技股份有限公司,7-10,长春,民营公司,,多元化业务集团公司,[''],"""本科"""
储备干部（全国轮岗+浙江培训）,清大东方教育科技集团有限公司,5-7,长春,民营公司,,多元化业务集团公司,[''],"""本科"""
公考储备教师（长春）,北京粉笔蓝天科技有限公司,7-10,长春,民营公司,,多元化业务集团公司,[''],"""本科"""
（商业地产）房地产销售经理（长春）,北京同程致富投资管理有限公司,4-5,长春,民营公司,,多元化业务集团公司,[''],"""在校生\应届生"""
财务管培生,白象食品股份有限公司,7-10,长春,民营公司,,快速消费品(食品、饮料、化妆品),[''],"""本科"""
营销管培生（长春）,金红叶纸业集团有限公司,7-10,长春,外资（非欧美）,,快速消费品(食品、饮料、化妆品),[''],"""大专"""
暖通工程师（长春）,中国电子系统工程第二建设有限公司,7-10,长春,国企,,电子技术\半导体\集成电路,[''],"""本科"""
营销管培生,青蛙王子（福建）婴童护理用品有限公司,7-10,长春,民营公司,,快速消费品(食品、饮料、化妆品),[''],"""大专"""
信息管理员（2021届校园招聘）,重庆医药（集团）股份有限公司,4-5,长春,国企,,制药\生物工程,[''],"""本科"""
区域总经理助理（长春）,北京千喜鹤餐饮管理有限公司,7-10,长春,民营公司,,餐饮业,[''],"""本科"""
CRH高铁乘务招募中,河南普斯旅服人力资源有限公司,5-7,异地招聘,民营公司,50-150人,专业服务(咨询、人力资源、财会),[''],"""中技"""
呷哺餐厅见习经理-长春市,呷哺呷哺餐饮管理有限公司沈阳市场,5-7,长春,外资（非欧美）,500-1000人,餐饮业,[''],"""大专"""
行政文员,吉林省魔豆家政服务有限公司,2-4,长春-净月经济开发区,民营公司,少于50人,生活服务,[''],"""大专"""
销售经理,长春超纯科技有限公司,5-7,长春-南关区,民营公司,50-150人,仪器仪表\工业自动化,"['员工旅游', '绩效奖金', '生日礼物', '年终奖金', '带薪年假']","""大专"""
客服五险一金可应届,泰康人寿保险有限责任公司吉林电话销售中心,5-7,长春-绿园区,民营公司,10000人以上,金融\投资\证券,"['做五休二', '五险一金', '专业培训', '带薪年假', '绩效奖金', '全勤奖', '节日福利', '周末双休', '高温补贴']","""无需经验"""
客房领班,吉林美伦丽晶大饭店有限公司,2-4,长春-宽城区,民营公司,150-500人,批发\零售,[''],"""1年经验"""
技术服务工程师-长春,英达特信息技术（上海）有限公司,5-6,长春-朝阳区,外资（欧美）,50-150人,计算机服务(系统、数据服务、维修),"['五险一金', '餐饮补贴', '定期体检']","""大专"""
急聘长春机场安检\监护\VIP接待五险吃住,河北昌圆铁路电气化技术有限公司,5-7,长春-朝阳区,合资,50-150人,交通\运输\物流,[''],"""高中"""
护士,南关区树勋综合门诊部,4-5,长春-南关区,民营公司,少于50人,医疗\护理\卫生,[''],"""中技"""
电话销售,长春市慧鑫康医疗科技有限公司,4-10,长春-二道区,民营公司,50-150人,医疗设备\器械,"['带薪年假', '节日福利', '全勤奖', '六天休息']","""大专"""
设备维修技术员,天津富奥电装空调有限公司长春分公司,7-10,长春-汽车产业开发区,民营公司,150-500人,机械\设备\重工,"['五险一金', '补充医疗保险', '免费班车', '年终奖金', '专业培训', '出国机会', '定期体检']","""大专"""
c++工程师（优秀应届生均可）,吉林省元一科技有限公司,4-7,长春-经济技术开发区,外企代表处,50-150人,计算机软件,"['绩效奖金', '五险一金', '补充医疗保险', '补充公积金', '交通补贴', '餐饮补贴', '定期体检', '员工旅游', '专业培训', '通讯补贴']","""本科"""
初中化学老师,吉林省华益松鼠教育培训学校有限公司,10-12,长春-绿园区,合资,,教育\培训\院校,[''],"""大专"""
小米授权专卖店,吉林省雷宇科技集团有限公司,5-7,长春-汽车产业开发区,民营公司,150-500人,电子技术\半导体\集成电路,"['专业培训', '绩效奖金', '餐饮补贴', '弹性工作', '五险一金']","""大专"""
12.房产签约经理 薪资6-8k 一本重点院校,贝壳找房·长春站,7-10,长春,民营公司,10000人以上,房地产,"['弹性工作', '绩效奖金', '透明晋升', '专业培训', '节日福利', '五险一金']","""本科"""
小学语文老师4000+,长春市新睿外语培训学校,5-7,长春-二道区,民营公司,50-150人,教育\培训\院校,"['员工旅游', '餐饮补贴', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '每周一二双休']","""本科"""
消防文员,长春市方元翻译服务有限责任公司,4-5,长春-绿园区,合资,,专业服务(咨询、人力资源、财会),[''],"""本科"""
洗衣技术员,长春金赛药业股份有限公司,4-5,长春,上市公司,1000-5000人,制药\生物工程,"['带薪年假', '五险一金', '包吃', '免费班车', '交通补贴', '节日福利', '绩效奖金', '高温补贴', '加班补贴']","""初中及以下"""
储备管理干部（人力行政方向）,兰舍硅藻新材料有限公司,5-7,长春-二道区,民营公司,1000-5000人,建筑\建材\工程,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检', '餐饮补贴']","""本科"""
线上助教,上海一起作业信息科技有限公司北京分公司,7-10,长春-二道区,民营公司,10000人以上,教育\培训\院校,[''],"""本科"""
外派普工,浙江爱力浦科技股份有限公司,7-10,异地招聘,民营公司,500-1000人,机械\设备\重工,"['五险一金', '补充医疗保险', '年终奖金', '绩效奖金', '通讯补贴', '弹性工作', '节日福利', '周末双休']","""无需经验"""
办公室文员,吉林省创美堂印刷有限公司,2-4,长春-九台区,民营公司,少于50人,印刷\包装\造纸,[''],"""高中"""
行政主管,吉林金域医学检验所有限公司,5-7,长春-高新技术产业开发区,上市公司,150-500人,医疗\护理\卫生,"['五险一金', '节日福利', '餐饮补贴', '带薪年假', '员工旅游', '交通补贴', '定期体检']","""本科"""
验光师,长春红星医院有限公司,6-10,长春-朝阳区,民营公司,50-150人,医疗\护理\卫生,['五险一金'],"""中专"""
销售总监储备分公司总经理,四川甜颜蜜女企业管理有限公司,12-60,异地招聘,民营公司,150-500人,美容\保健,[''],"""大专"""
餐饮经理,吉林省亨享餐饮管理有限公司,10-12,长春-二道区,民营公司,150-500人,餐饮业,"['做五休二', '做一休一', '周末双休', '弹性工作', '带薪年假', '免费班车', '包住宿', '包三餐', '五险一金', '全勤奖']","""1年经验"""
仓库管理员,吉林省肯普汽车零部件有限公司,4-5,异地招聘,民营公司,50-150人,汽车,"['年终奖金', '绩效奖金', '节日福利', '加班补贴', '五险', '免费工作餐']","""中专"""
羽毛球主管,长春九台区奥飞体育文化有限公司,7-10,长春-宽城区,民营公司,500-1000人,娱乐\休闲\体育,[''],"""3-4年经验"""
会计（常驻苏丹）,湖州南浔登盈路木业有限公司,10-12,异地招聘,创业公司,少于50人,贸易\进出口,"['包住宿', '五险一金']","""大专"""
城市合伙人,通化市魏氏食品科技开发有限公司,12-18,异地招聘,民营公司,50-150人,快速消费品(食品、饮料、化妆品),[''],"""大专"""
小学语文教师（长春）,北京大学附属中学海口学校,12-18,长春,事业单位,,教育\培训\院校,[''],"""本科"""
诚聘高薪行政主管,中国人寿保险股份有限公司长春市南关支公司,5-7,长春,合资,,保险,[''],"""大专"""
高中各科教师,长水教育集团-云南衡水实验中学,12-18,长春,民营公司,,教育\培训\院校,[''],"""本科"""
交付工程师（长春）,南京天溯自动化控制系统有限公司,12-18,长春,合资,,仪器仪表\工业自动化,[''],"""本科"""
知识产权主管助理（长春）,第五届“太湖知英”知识产权线上专场人才对接会,7-10,长春,国企,,学术\科研,[''],"""本科"""
机械技术员（工作地点：西安）（长春）,西安西电光电缆有限责任公司,5-7,长春,国企,,机械\设备\重工,[''],"""本科"""
销售管培生（长春）,雨润地产集团,4-5,长春,民营公司,,多元化业务集团公司,[''],"""本科"""
销售代表（长春）,美康生物科技股份有限公司,5-7,长春,上市公司,,制药\生物工程,[''],"""大专"""
人力资源管培生（企业管理））（长春）,杭州加佑服饰有限公司,4-5,长春,民营公司,,服装\纺织\皮革,[''],"""硕士"""
行政司机,吉林长华汽车部件有限公司,4-4,异地招聘,民营公司,150-500人,汽车,"['五险一金', '包吃', '免费班车', '节日福利', '交通补贴', '通讯补贴', '员工旅游', '绩效奖金']","""初中及以下"""
高薪物料员（长春）,武汉市兴天宇纸塑制品有限公司,5-7,长春,民营公司,,印刷\包装\造纸,[''],['']
成本管培生（长春）,天润置地集团有限公司,12-18,长春,民营公司,,多元化业务集团公司,[''],"""本科"""
小学辅导老师（长春）,北京猿力未来科技有限公司,5-7,长春,民营公司,,多元化业务集团公司,[''],"""本科"""
卫星通信系统设计（长春）,航天行云科技有限公司,18-24,长春,政府机关,,政府\公共事业,[''],"""硕士"""
急聘初高中英语教师+五险一金+高薪+双休(J16463),长春学大教育培训学校,7-10,长春,民营公司,500-1000人,教育\培训\院校,"['弹性工作', '五险一金', '定期体检', '绩效奖金', '专业培训', '带薪年假', '节假日福利', '提供住宿']","""本科"""
综合部经理,长春市恒建通达能源有限公司,5-7,长春-南关区,民营公司,150-500人,新能源,"['五险一金', '周末双休']","""本科"""
财务会计,长春市精诚会计服务有限公司,4-5,长春-南关区,民营公司,少于50人,会计\审计,[''],['']
德资仪器销售及技术支持工程师,英诺太科测试设备（太仓）有限公司,7-10,异地招聘,外资（欧美）,50-150人,仪器仪表\工业自动化,"['五险一金', '弹性工作', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金']","""大专"""
食品部认证培训服务销售主管,SGS通标标准技术服务有限公司长春分公司,6-10,长春,合资,500-1000人,检测，认证,"['五险一金', '免费班车', '专业培训', '绩效奖金', '定期体检', '带薪年假', '节日福利', '高温补贴']","""本科"""
渠道营销,华润雪花啤酒（黑吉）有限公司,7-10,长春-朝阳区,外资（非欧美）,1000-5000人,快速消费品(食品、饮料、化妆品),"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '带薪年假', '节日福利']","""本科"""
项目经理,世茂集团 Shimao Group,24-30,异地招聘,,1000-5000人,房地产,"['五险一金', '定期体检', '补充医疗保险', '交通补贴', '餐饮补贴', '年终奖金']","""本科"""
唯品会实体店店员（南关）,唯品会（中国）有限公司,4-6,长春,上市公司,10000人以上,互联网\电子商务,"['周末双休', '弹性工作', '带薪年假', '五险一金', '绩效奖金', '节日福利', '做五休二', '全勤奖']","""2年经验"""
资产保全专员,交通银行股份有限公司太平洋信用卡中心,10-12,长春-二道区,国企,150-500人,银行,[''],"""大专"""
区域销售经理,长春东方昊驰经贸有限公司,7-10,长春-朝阳区,民营公司,少于50人,汽车,[''],"""高中"""
操作工,长春浙海现代模具有限公司,5-7,长春,民营公司,少于50人,汽车零配件,"['五险', '带薪年假']","""1年经验"""
奢侈品销售（长春卓展店）,上海兆妩品牌管理有限公司,8-18,长春-朝阳区,民营公司,500-1000人,奢侈品\收藏品\工艺品\珠宝,"['餐饮补贴', '五险一金', '专业培训', '定期体检', '带薪年假']","""大专"""
高薪诚聘电话销售+双休+旅游,泰康人寿吉林电话营销中心,7-10,长春-绿园区,上市公司,10000人以上,保险,"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金']","""大专"""
代驾司机,长春市计划时间汽车服务有限公司,7-10,长春,合资,150-500人,汽车,"['弹性工作', '绩效奖金']","""无需经验"""
团队经理,吉林省众泰房地产经纪有限公司,18-24,长春-南关区,民营公司,150-500人,房地产,"['全勤奖', '节日福利', '专业培训', '交通补贴', '加班补贴', '高温补贴', '通讯补贴']","""大专"""
售前咨询顾问,易联众通达易（厦门）信息科技有限公司,10-16,长春-朝阳区,上市公司,50-150人,计算机软件,"['弹性工作', '五险一金', '绩效奖金', '节日福利', '周末双休', '股票期权', '员工旅游', '年终奖金', '专业培训', '项目提成']","""本科"""
电工,杭州飞武机电有限公司,12-24,长春,民营公司,少于50人,互联网\电子商务,[''],"""大专"""
淘宝运营,长春市华茂酒业有限公司,3-5,长春-南关区,民营公司,少于50人,快速消费品(食品、饮料、化妆品),"['绩效奖金', '节日福利', '员工旅游']","""大专"""
长春欧亚商都女装诚招导购,盛开品牌管理,7-10,长春,民营公司,50-150人,服装\纺织\皮革,[''],"""初中及以下"""
法学实习生,长春市把手科技有限公司,2-4,长春,民营公司,少于50人,法律,"['全勤奖', '节日福利', '绩效奖金', '年终奖金', '生日福利', '免费零食水果', '工会活动', '带薪年假', '定期涨薪', '员工旅游']","""本科"""
综合部部长,吉林省盛世苑房地产开发有限责任公司,5-10,长春-南关区,民营公司,50-150人,房地产,"['五险一金', '节日福利', '绩效奖金', '餐饮补贴', '通讯补贴', '交通补贴']","""本科"""
销售主管,吉林省承明网络传媒科技有限公司,18-24,长春-南关区,创业公司,少于50人,互联网\电子商务,[''],"""大专"""
生产操作工,吉林省富生医疗器械有限公司,4-7,长春-净月经济开发区,民营公司,150-500人,医疗设备\器械,"['五险一金', '员工旅游', '年终奖金', '专业培训', '免费班车', '周末双休', '带薪年假', '节日福利']","""中专"""
渠道销售经理,长春市融创装修设计服务有限责任公司,10-12,长春-南关区,民营公司,50-150人,家居\室内设计\装潢,[''],"""无需经验"""
展会珠宝销售员,长春市启航人工智能信息技术服务有限公司,5-7,异地招聘,民营公司,,机械\设备\重工,[''],"""1年经验"""
工人,吉林省振坤溢利汽车部件有限公司,4-5,长春-宽城区,民营公司,150-500人,汽车,"['弹性工作', '免费班车', '全勤奖']","""无需经验"""
法务专员,金德管业集团,10-12,长春,民营公司,10000人以上,建筑\建材\工程,[''],"""本科"""
软件实施工程师,苏州麦迪斯顿医疗科技股份有限公司,5-6,长春,上市公司,500-1000人,计算机软件,"['五险一金', '绩效奖金', '年终奖金', '餐饮补贴', '员工旅游', '定期体检']","""大专"""
焊接工程师,长春启配信息技术服务有限公司,6-8,长春-二道区,民营公司,,汽车,"['五险一金', '采暖补贴', '工会医疗', '年终奖金', '项目改进奖金', '加班费']","""大专"""
房地产销售总监,新联康（中国）长春分公司,10-12,长春,外资（非欧美）,500-1000人,房地产,"['五险一金', '绩效奖金', '全勤奖', '交通补贴', '餐饮补贴', '专业培训']","""大专"""
